Nama CPU,CPU Mark
AMD E2 9030,983
AMD Embedded G Series GX 215JJ Radeon R2E,"1,094"
AMD Embedded G Series GX 224IJ Radeon R4E,"1,271"
AMD Embedded G Series GX 420GI Radeon R7E,"1,602"
AMD Embedded R Series RX 216GD,"1,628"
AMD Embedded R Series RX 418GD Radeon R6,"3,426"
AMD Embedded R Series RX 421BD,"3,302"
AMD Embedded R Series RX 421ND,"3,024"
AMD EPYC 3101 4 Core,"6,050"
AMD EPYC 3151,"8,306"
AMD EPYC 3201,"8,672"
AMD EPYC 3251,"13,681"
AMD EPYC 3451,"19,532"
AMD EPYC 4124P,"18,139"
AMD EPYC 4244P,"27,164"
AMD EPYC 4245P,"31,316"
AMD EPYC 4344P,"33,771"
AMD EPYC 4345P,"28,522"
AMD EPYC 4364P,"34,215"
AMD EPYC 4464P,"47,185"
AMD EPYC 4465P,"50,253"
AMD EPYC 4484PX,"50,547"
AMD EPYC 4545P,"55,020"
AMD EPYC 4564P,"64,398"
AMD EPYC 4565P,"64,068"
AMD EPYC 4584PX,"60,169"
AMD EPYC 4585PX,"70,518"
AMD EPYC 7203P,"22,017"
AMD EPYC 7232P,"17,712"
AMD EPYC 7251,"14,935"
AMD EPYC 7252,"19,411"
AMD EPYC 7261,"11,149"
AMD EPYC 7262,"20,779"
AMD EPYC 7272,"25,161"
AMD EPYC 7281,"21,621"
AMD EPYC 7282,"30,106"
AMD EPYC 72F3,"27,252"
AMD EPYC 7301,"14,991"
AMD EPYC 7302,"33,499"
AMD EPYC 7302P,"32,690"
AMD EPYC 7303,"28,572"
AMD EPYC 7303P,"36,487"
AMD EPYC 7313,"38,938"
AMD EPYC 7313P,"41,017"
AMD EPYC 7343,"43,644"
AMD EPYC 7351,"23,226"
AMD EPYC 7351P,"24,871"
AMD EPYC 7352,"40,370"
AMD EPYC 7371,"28,780"
AMD EPYC 73F3,"46,103"
AMD EPYC 7401P,"27,836"
AMD EPYC 7402,"46,012"
AMD EPYC 7402P,"43,759"
AMD EPYC 7413,"50,641"
AMD EPYC 7443,"56,743"
AMD EPYC 7443P,"56,798"
AMD EPYC 7451,"26,639"
AMD EPYC 7452,"45,764"
AMD EPYC 7453,"48,453"
AMD EPYC 7473X,"59,280"
AMD EPYC 74F3,"60,666"
AMD EPYC 7501,"24,925"
AMD EPYC 7502,"52,107"
AMD EPYC 7502P,"51,206"
AMD EPYC 7513,"59,331"
AMD EPYC 7532,"50,726"
AMD EPYC 7542,"45,359"
AMD EPYC 7543,"62,952"
AMD EPYC 7543P,"66,590"
AMD EPYC 7551,"25,844"
AMD EPYC 7551P,"38,236"
AMD EPYC 7552,"57,414"
AMD EPYC 7571,"28,574"
AMD EPYC 7573X,"69,432"
AMD EPYC 75F3,"64,505"
AMD EPYC 7601,"35,059"
AMD EPYC 7642,"58,795"
AMD EPYC 7643,"76,050"
AMD EPYC 7643P,"77,307"
AMD EPYC 7662,"72,298"
AMD EPYC 7663,"82,120"
AMD EPYC 7702,"69,060"
AMD EPYC 7702P,"63,342"
AMD EPYC 7713,"83,018"
AMD EPYC 7713P,"81,582"
AMD EPYC 7742,"69,477"
AMD EPYC 7763,"84,675"
AMD EPYC 7773X,"91,340"
AMD EPYC 7B12,"66,044"
AMD EPYC 7B13,"78,064"
AMD EPYC 7C13,"76,363"
AMD EPYC 7D12,"42,285"
AMD EPYC 7F32,"23,253"
AMD EPYC 7F52,"41,322"
AMD EPYC 7F72,"52,840"
AMD EPYC 7H12,"69,633"
AMD EPYC 7J13,"84,786"
AMD EPYC 7K23,"81,183"
AMD EPYC 7K62,"59,533"
AMD EPYC 7R12,"48,934"
AMD EPYC 7R13,"79,046"
AMD EPYC 7R32,"63,969"
AMD EPYC 7R43,"83,535"
AMD EPYC 7T83,"81,757"
AMD EPYC 7V12,"70,622"
AMD EPYC 7V13,"81,764"
AMD EPYC 8024P,"20,455"
AMD EPYC 8124P,"36,061"
AMD EPYC 8224P,"45,421"
AMD EPYC 8324P,"57,127"
AMD EPYC 8324PN 32 Core,"8,375"
AMD EPYC 8434P,"66,490"
AMD EPYC 8534P,"71,900"
AMD EPYC 9015,"28,190"
AMD EPYC 9115,"48,233"
AMD EPYC 9124,"43,697"
AMD EPYC 9135,"57,808"
AMD EPYC 9174F,"54,869"
AMD EPYC 9175F,"65,894"
AMD EPYC 9184X,"47,665"
AMD EPYC 9224,"48,573"
AMD EPYC 9254,"64,344"
AMD EPYC 9255,"75,809"
AMD EPYC 9274F,"73,982"
AMD EPYC 9275F,"84,620"
AMD EPYC 9334,"65,568"
AMD EPYC 9354,"73,892"
AMD EPYC 9354P,"74,832"
AMD EPYC 9355P,"97,249"
AMD EPYC 9374F,"82,009"
AMD EPYC 9375F,"95,768"
AMD EPYC 9384X,"72,121"
AMD EPYC 9454,"87,961"
AMD EPYC 9454P,"94,678"
AMD EPYC 9455P,"116,822"
AMD EPYC 9474F,"102,255"
AMD EPYC 9475F,"122,476"
AMD EPYC 9534,"89,077"
AMD EPYC 9554,"103,755"
AMD EPYC 9554P,"104,920"
AMD EPYC 9555P,"135,441"
AMD EPYC 9565,"135,221"
AMD EPYC 9575F,"146,989"
AMD EPYC 9634,"107,944"
AMD EPYC 9654,"119,246"
AMD EPYC 9654P,"116,324"
AMD EPYC 9655,"156,110"
AMD EPYC 9655P,"160,490"
AMD EPYC 9684X,"122,017"
AMD EPYC 9734,"102,286"
AMD EPYC 9745,"130,698"
